input_chunk_length,output_chunk_length,kernel_size,n_epochs,use_covariates,use_revin,Split,RMSE,MSE,MAE,R2
48,24,13,100,True,False,VAL,3.5973765775015054,12.941118240356445,2.512620449066162,0.7488989233970642
48,24,13,100,True,False,TEST,2.0627265574549813,4.254840850830078,1.5165024995803833,0.8845658302307129
48,24,13,100,True,True,VAL,2.1889064082409018,4.791311264038086,1.6408346891403198,0.8558012247085571
48,24,13,100,True,True,TEST,1.9202867473616787,3.6875011920928955,1.4104615449905396,0.9219629764556885
48,24,13,200,False,False,VAL,2.5337468771781175,6.419873237609863,1.8463656902313232,0.8485110402107239
48,24,13,200,False,False,TEST,2.390008984153812,5.7121429443359375,1.7799878120422363,0.8567650318145752
48,24,13,200,False,True,VAL,2.383743654511702,5.682233810424805,1.7655425071716309,0.8360037207603455
48,24,13,200,False,True,TEST,2.201519645019323,4.846688747406006,1.6037746667861938,0.901103138923645
48,24,13,200,True,False,VAL,3.480829325107358,12.116172790527344,2.475660800933838,0.7548689842224121
48,24,13,200,True,False,TEST,2.582572476310771,6.669680595397949,1.8853111267089844,0.841734766960144
48,24,13,200,True,True,VAL,2.301744554082519,5.298027992248535,1.7139378786087036,0.8464131355285645
48,24,13,200,True,True,TEST,2.2200384562830187,4.928570747375488,1.5986566543579102,0.9034290909767151
48,24,25,50,False,False,VAL,2.2627413584074536,5.119998455047607,1.6454097032546997,0.8786396980285645
48,24,25,50,False,False,TEST,2.2172027350796824,4.915987968444824,1.6219226121902466,0.8693398833274841
48,24,25,50,False,True,VAL,2.1232214946227987,4.5080695152282715,1.5945717096328735,0.8500652313232422
48,24,25,50,False,True,TEST,1.748972591170115,3.0589051246643066,1.2844020128250122,0.9325156211853027
48,24,25,50,True,False,VAL,3.4372405907978454,11.81462287902832,2.371978998184204,0.7701108455657959
48,24,25,50,True,False,TEST,2.013950213963829,4.055995464324951,1.510029911994934,0.8914579153060913
48,24,25,50,True,True,VAL,2.1593258798314947,4.662688255310059,1.626139521598816,0.8544510006904602
48,24,25,50,True,True,TEST,1.8088026152723893,3.2717669010162354,1.3178993463516235,0.925807774066925
48,24,25,100,False,False,VAL,2.3792263373147926,5.660717964172363,1.7500077486038208,0.8632766008377075
48,24,25,100,False,False,TEST,2.3209896448209255,5.386992931365967,1.6982296705245972,0.8517646789550781
48,24,25,100,False,True,VAL,2.126763453578133,4.523122787475586,1.5791136026382446,0.8627536296844482
48,24,25,100,False,True,TEST,1.9848676055072823,3.939699411392212,1.4424976110458374,0.9188366532325745
48,24,25,100,True,False,VAL,3.538987316823514,12.524431228637695,2.4593253135681152,0.7520037889480591
48,24,25,100,True,False,TEST,2.0984626228833982,4.403545379638672,1.553044080734253,0.882337749004364
48,24,25,100,True,True,VAL,2.113509470802676,4.466922283172607,1.5887008905410767,0.8650054335594177
48,24,25,100,True,True,TEST,1.9519804385604336,3.810227632522583,1.4361315965652466,0.9184512495994568
48,24,25,200,False,False,VAL,2.5527042074836133,6.516298770904541,1.856408953666687,0.8408938050270081
48,24,25,200,False,False,TEST,2.5327995172882103,6.415073394775391,1.8705508708953857,0.8367800116539001
48,24,25,200,False,True,VAL,2.3076000366348475,5.325017929077148,1.7107009887695312,0.8504538536071777
48,24,25,200,False,True,TEST,2.251894365323219,5.071028232574463,1.6372357606887817,0.8954062461853027
48,24,25,200,True,False,VAL,3.451064517775228,11.909846305847168,2.4371681213378906,0.754832923412323
48,24,25,200,True,False,TEST,2.501061404932937,6.255308151245117,1.8494757413864136,0.8362592458724976
48,24,25,200,True,True,VAL,2.260963748761061,5.11195707321167,1.6702139377593994,0.8594287037849426
48,24,25,200,True,True,TEST,2.050408029655008,4.2041730880737305,1.5088762044906616,0.9135720729827881
48,24,37,50,False,False,VAL,2.239115880634676,5.0136399269104,1.6201592683792114,0.8830723762512207
48,24,37,50,False,False,TEST,2.1080746633998775,4.443978786468506,1.5411227941513062,0.8909449577331543
48,24,37,50,False,True,VAL,2.1010746159111,4.414514541625977,1.5570412874221802,0.8579484820365906
